post,background
"EPM EDILPIEMME è lieta di poter contribuire alla nuova edizione della Nasa International Space Apps Challenge - Rome.  Sei un amante della tecnologia, appassionato dello Spazio in tutte le sue forme? Mettiti in gioco e partecipa alla NASA International Space Apps Challenge, un’iniziativa lanciata dalla NASA per promuovere lo studio dello spazio e l’innovazione in modo inclusivo. Il programma e tutti i dettagli dell’evento che tornerà di nuovo in presenza durante il week end del 1 e 2 ottobre 2022 in una location spettacolare: l’Auditorium delle Scuderie Aldobrandini di Frascati durante la Notte Europea dei Ricercatori.",645 followers
"E hoje terminou nosso Hackathon, o 1◦ Hackathon do Saneamento da Companhia Águas de Joinville!!! Depois de 3 semanas intensas de muito trabalho, conhecemos na noite deste sábado as três empresas vencedoras do programa. Parabéns para Galax.IA, Kartado e Opera Dados. Ao todos tivemos 28 empresas inscritas no evento, das quais 22 apresentaram o pitch. Ideias fantásticas que demonstram que nosso país está servido de profissionais e ideias de primeiríssima qualidade quando o assunto é inovação no saneamento! Agora é apoiar as empresas vencedoras no desenvolvimento das soluções propostas e levantar as lições aprendidas das 12 atividades que compreenderam o Programa InovaCAJ para que, em 2023, possamos lançar uma edição ainda melhor!! Obrigado , técnicos da CAJ e toda a equipe da , que não mediram esforços para o sucesso desta iniciativa!!","MSc, Eng.│ Conselheiro CCA+│ Management 3.0│ Mentor│ Professor│ Avaliador líder│ Six Sigma Black Belt│ Inspirador WCD │ Kaizen™ Practitioner"
"DESIGNING CIRCULAR FUTURE ... la nostra Hackathon verso la PLASTICA SOSTENIBILE.    Significa credere nell’ e nell' o semplicemente aprirsi alla conoscenza di qualcosa di nuovo!    Da anni promuoviamo la con l’impiego dei materiali polimerici: , , .    Con l’ingresso di in Ghepi stiamo sviluppando l’impiego di come straordinaria ed innovativa opportunità per lo sviluppo di prodotti ed applicazioni che riducano le emissioni di CO2.    Questi aspetti saranno i focus delle 2 della nostra e abbiamo già un bellissimo di che voglio ringraziare!    Un ringraziamento particolare ai Docenti dell' e che ci hanno consigliato per favorire lo sviluppo di opportunità per i loro Studenti e, in questo caso, le loro Studentesse.    Possiamo accogliere ancora qualche iscrizione ma prevediamo di chiudere entro la prossima settimana.  Vi aspettiamo per trascorrere insieme 3 giornate appassionanti!",Entrepreneur and CEO @GHEPI with passion for Innovation and Wellbeing.
"#JoinTheChallenge #iDays #InnovationDays #Hackathon    Mancano meno di cinque giorni alla chiusura delle candidature per partecipare all'hackathon di , il primo rivolto agli studenti universitari per sviluppare soluzioni concrete nell'ambito della salute, che si terrà dal 2 al 4 novembre 2022 presso e organizzato in collaborazione con e .    ➡️ , , , , sono alcune delle aziende leader nell'ambito digitale e sanitario che gli studenti incontreranno in occasione dell'evento, realizzato nel contesto degli i-Days (Innovation Days) di in contemporanea con altre 24 città europee. I gruppi vincitori di ciascun evento parteciperanno a un contest finale che premierà la proposta più innovativa e interessante a livello europeo.    🔗 Iscrizioni entro il 10 ottobre al seguente link:","14,309 followers"
I'm so happy to take place in Dell Technologies   and Hacktrick hackathon this year.  Thanks Rob Lincourt for this great session       ,Data analyst intern @TAQA_Arabia || Junior Software Engineer || Junior Android developer with Java || Studying Data Science
"#savethedate  🟣Presentazione Hackathon Homo Digitalis🟣    Mancano meno di 10 giorni al nostro Hackathon! 🎯    Oggi dalle 16 alle 17, vi aspettiamo numerosi in diretta dalla Casa delle Tecnologie Emergenti , sede operativa dei nostri partner di progetto  , per presentate l’Hackathon 2021 “Homo Digitalis: Transizione Digitale & Intelligenza Artificiale”📣    Partecipa alla diretta 👉    Thank to:          ","53,083 followers"
"🌿 Prende il via l'evento ""Istruzione, formazione e ricerca per l'empowerment delle nuove generazioni"" all'interno del 𝟯° 𝗙𝗼𝗿𝘂𝗺 𝗿𝗲𝗴𝗶𝗼𝗻𝗮𝗹𝗲 𝗽𝗲𝗿 𝗹𝗼 𝗦𝘃𝗶𝗹𝘂𝗽𝗽𝗼 𝗦𝗼𝘀𝘁𝗲𝗻𝗶𝗯𝗶𝗹𝗲 𝗱𝗶 𝗥𝗲𝗴𝗶𝗼𝗻𝗲 𝗟𝗼𝗺𝗯𝗮𝗿𝗱𝗶𝗮.    🌿 Anche LTO sarà presente nella sezione ""Giovani e Green Jobs"" per raccontare l’esperienza dell’𝗛𝗮𝗰𝗸𝗮𝘁𝗵𝗼𝗻 “𝗘𝗰𝗼𝗻𝗼𝗺𝗶𝗮 𝗖𝗶𝗿𝗰𝗼𝗹𝗮𝗿𝗲: 𝗖𝗼𝗻𝗼𝘀𝗰𝗶, 𝗖𝗼𝗺𝘂𝗻𝗶𝗰𝗮 𝗲 𝗖𝗮𝗺𝗯𝗶𝗮!”.    🌿 Guarda il programma e la diretta streaming:    🌿 Per maggiori informazioni sulla terza edizione dell'hackathon:    --------------------  L’hackathon “Economia Circolare: Conosci, Comunica e Cambia! Edizione 2021/22” è promosso dalla Rete Alternanza/PCTO e da grazie al sostegno di e in stretta sinergia con l’investimento attivato dal all’interno del “Premio Futuro Sostenibile”.",563 followers
"🔥 𝗟𝗔𝗡𝗖𝗜𝗔 𝗟𝗔 𝗧𝗨𝗔 𝗖𝗔𝗥𝗥𝗜𝗘𝗥𝗔 𝗡𝗘𝗟 𝗡𝗘𝗪 𝗦𝗣𝗔𝗖𝗘 | 𝗣𝗔𝗥𝗧𝗘𝗖𝗜𝗣𝗔 𝗔𝗟 𝟰° 𝗖𝗔𝗦𝗦𝗜𝗡𝗜 𝗛𝗔𝗖𝗞𝗔𝗧𝗛𝗢𝗡 𝗔 𝗧𝗢𝗥𝗜𝗡𝗢 🔥    💡 Volete rendere la e il mondo più sostenibile? Allora partecipate al 4° CASSINI Hackathon e portate le vostre competenze a Torino dal 4 al 6 novembre! Abbiamo numerosi da assegnare ai vincitori! L'hackathon è organizzato in Italia dalla ed è aperto a chiunque sia entusiasta dell'imprenditorialità, della , delle e delle tecnologie spaziali dell'. La competizione si terrà presso , un ambiente stimolante con tutor, mentor e sessioni formative dedicate.    🎯 🤝Un’importante manifestazione per l’ecosistema nazionale e piemontese che non sarebbe stata possibile senza il supporto dei prestigiosi e coinvolti. Ringraziamo in particolare: , , , , , , ,  , , , , , , , , , , , , , , .    🔥 Cosa aspetti registrati subito 👉                  ","2,413 followers"
"Una giornata di sfide a ritmi serrati, come in un vero #hackathon, per una challenge avvincente e innovativa sui temi della comunicazione #digital.    Testimonial d’eccezione è stato il nostro Head of Digital Marketing  che lo scorso 10 marzo, nell’ambito del corso di  tenuto dalla Professoressa  del , ha guidato i lavori insieme a  e  del Talent Acquisition Center.     Massimo ha dapprima condotto gli studenti nel mondo , per poi lanciare la sfida del contest incentrata sulla definizione della presenza social di Esselunga nell’ambito delle Produzioni Alimentari, identificando nuovi canali da presidiare, aree tematiche e di contenuto, piano editoriale dei primi mesi di attivazione, nonché il coinvolgimento di influencer e creator.    Gli studenti hanno affrontato con entusiasmo e propositività la sfida, per realizzare e presentare al meglio i propri progetti nei tempi prefissati, dimostrando di sapersi destreggiare tra social media strategy, content creation, influencer strategy,  e .    Grazie a tutti per la passione e l’impegno e complimenti a , , , ,  e  del team “Cristoforo Colomba” che si sono aggiudicati il contest!","279,572 followers"
"Grazie a #IlGiornalediVicenza che ha dedicato un ampio spazio al primo #hackathon Loison, una maratona che ha coinvolto il Corso di Strategic Digital Marketing del Master in Marketing Management dell' Università Cattolica del Sacro Cuore di Milano.","5,061 followers"
"If you are a student or a working professional, #Delltech is preparing something exciting for you! Stay tuned for more #HackTrick details.",Workflow Manager at Dell Technologies
"""Hey Kesavan, is there by any chance that I can join the upcoming Hack2Hire as mentor?""    Barely only 3 weeks into the job, I made the bold move to volunteer as mentor for the latest iteration of ' Virtual Hack2Hire event.    If you ask me why, it's because I got to where I am now literally because of this platform. The least I could do is go back and essentially give back to the community by using my experience to help others achieve the same dream as I did a year ago.    By pure chance, I got assigned to roughly the same mentees that I mentored during UMHackathon 2021, for the team Logos. Unlike that competition however, I can certainly say that mentors in Hack2Hire play an arguably even bigger role; not just in giving technical advices but also to motivate them to endure the pressure along the way.    The latter especially couldn't be more true and prominent for me. Not only that I convinced my assigned team to keep their chin up and restrategise despite being unable to develop a fully-functional MVP, but I even went out of my way to call and persuade my dear friend and his teammate to not call it quits due to unforeseen circumstances, and stepped in to accompany them for their presentation rehearsal despite not being their mentor.    I realised that since I was once in their shoes, that experience allows me to relate and empathise with them more.    While the past 2 days had been exhausting for me, seeing the faces of many especially my mentees and friends lit up when the results are announced made it all worthwhile.    Not only all of my Logos team members , , and managed to get the internship offers, but 's team Bit Legion was also among the special mentioned teams, to my delight.    Many congratulations as well to my FCSIT UM peers-turned-future-colleagues , , , and for getting the coveted permanent job offers! Excited to see you guys at work soon. 😄    Last but not least, I want to thank and for granting me this opportunity this early on the job!    All in all, this has been an amazing experience for me and I look forward to the next Hack2Hire!",Software Engineer at Dell Technologies | Software Engineering Graduate at Universiti Malaya | Dell Digital Virtual Hack2Hire 2021 Champion
"Congratulations to all the winners of the Hip Hop Hackathon Alvin Liu, Jareth Cisneros, Ana Abigail Martinez and Shane McKenzie.    Join us for the Hip Hop Hackathon Awards with speakers and and special VIP prizes.    Special thanks to the judges and mentors for the Hip Hop Hackathon Competition    , , , , , , .    Deep gratitude to the Hip Hop Hackathon Board of Advisors    , , , , , , , , and .    Special mention to , , and for their contributions.    And, last, but not least, the support from the teams at , , , , , , , , and who provided their time and promotions.    Especially for the founding and new team at who keep the lights on and good things happening , and along with our current and new advisors , and .    Stay tuned for our upcoming video library and VIP experiences including updates for the 2023 program.     ","1,375 followers"
